Btop,Bjungle,Bmid,Bbot,Bsupport,Rtop,Rjungle,Rmid,Rbot,Rsupport,Bwin
95,79,31,46,85,16,82,17,27,3,1
118,79,65,15,100,40,37,17,47,66,0
68,82,115,27,3,112,63,65,100,85,0
78,103,83,48,77,95,37,17,98,74,0
29,81,40,46,50,93,25,58,47,74,0
40,51,112,98,77,95,54,2,72,31,0
31,57,113,27,12,16,28,123,46,74,0
86,24,112,98,12,65,63,66,15,3,0
103,63,98,65,110,117,71,95,27,66,0
84,36,112,65,3,40,37,2,100,62,0
122,35,140,100,42,44,79,63,8,66,1
88,28,116,100,62,136,79,2,46,85,1
44,88,112,113,3,129,79,101,8,62,1
29,61,9,27,50,93,79,88,98,85,1
29,102,24,46,119,16,112,17,27,50,0
65,79,116,51,50,148,56,6,15,67,1
45,24,88,46,119,20,56,2,23,50,0
103,57,66,27,3,20,79,17,100,85,1
133,22,141,7,85,40,61,1,65,75,0
93,28,115,27,50,16,36,112,8,42,1
126,94,78,46,50,93,61,1,129,42,1
16,37,83,100,35,44,61,60,27,117,0
68,37,6,15,50,65,79,73,7,90,0
101,36,123,7,90,2,63,32,8,50,1
44,51,101,98,119,105,37,60,100,90,0
103,61,52,98,85,32,79,140,72,14,1
16,36,140,115,119,44,37,1,46,85,1
68,36,2,100,3,44,41,112,98,85,1
16,56,83,8,42,103,61,112,46,90,0
68,28,116,8,85,122,25,2,23,62,0
68,57,17,116,62,106,37,113,100,85,0
70,57,30,49,77,18,63,96,46,85,0
93,61,123,46,101,65,79,32,146,121,0
112,36,2,128,62,18,63,65,48,77,0
94,57,98,9,62,103,79,112,100,78,0
35,28,145,27,62,77,56,95,120,119,0
29,51,83,27,62,16,37,31,46,50,0
140,79,141,129,109,86,56,9,47,119,1
103,51,65,100,12,20,63,6,27,11,0
122,57,133,46,50,44,35,2,8,85,0
84,57,112,136,77,16,79,113,8,85,0
84,36,96,100,77,40,79,2,46,74,0
133,37,145,27,12,95,61,83,120,74,0
16,79,141,59,66,84,37,83,23,75,0
68,35,65,27,70,6,57,55,23,85,0
103,79,65,15,74,29,63,17,100,109,0
140,57,52,72,77,98,63,60,8,62,0
103,61,52,98,85,32,79,140,72,14,0
16,61,64,46,11,136,51,97,98,85,0
36,79,35,48,12,126,57,113,23,42,1
101,63,146,100,62,16,36,112,65,14,0
2,82,68,46,119,136,79,123,47,114,0
44,57,31,100,11,85,79,113,46,45,0
27,63,17,65,62,112,7,141,24,14,0
16,57,60,8,62,84,94,83,100,85,0
34,56,67,27,77,136,35,140,128,66,0
16,61,129,46,85,2,71,30,27,66,0
93,79,123,48,87,2,36,148,49,90,1
101,134,53,98,77,140,63,150,27,42,1
2,36,24,8,85,93,79,52,27,42,0
113,36,17,46,42,140,57,66,84,90,0
29,63,65,8,77,32,57,96,46,50,0
65,63,136,46,11,78,28,145,8,66,0
40,63,112,47,66,6,37,141,100,62,0
16,28,88,100,3,84,36,148,7,87,0
111,56,64,46,62,70,63,65,49,119,0
20,102,133,49,119,45,26,83,120,143,0
103,37,2,124,90,147,79,60,48,87,0
16,37,123,98,117,86,36,83,27,85,1
78,36,53,47,62,103,57,83,23,119,0
68,36,113,8,11,140,63,112,124,101,0
122,63,88,146,101,29,57,83,27,85,0
106,79,93,72,147,2,131,30,7,42,0
65,51,106,27,143,84,37,132,49,119,0
65,63,53,98,85,40,57,83,23,66,0
19,26,88,46,119,2,61,78,100,77,0
16,51,101,23,66,93,103,17,27,14,0
134,56,60,98,77,44,36,1,100,119,0
84,79,97,124,114,112,63,141,98,77,1
68,61,24,46,85,66,57,112,27,11,1
2,54,130,27,42,93,36,112,15,119,0
89,36,148,8,50,93,63,87,100,62,0
16,63,146,65,114,86,35,87,72,77,0
2,54,140,46,42,95,35,31,87,101,0
103,61,52,98,85,32,79,140,72,14,1
19,26,88,46,119,2,61,78,100,77,0
147,71,67,100,117,70,79,148,46,77,0
20,35,78,87,101,29,36,113,100,114,1
65,24,116,51,85,29,35,87,27,77,0
68,36,2,100,3,44,41,112,98,85,1
27,63,17,65,62,112,7,141,24,14,0
126,35,87,46,119,84,79,80,27,42,0
93,24,140,8,35,84,61,2,100,101,0
118,24,88,100,114,97,36,123,46,62,0
103,102,1,47,119,32,56,65,146,78,0
24,56,53,98,77,118,61,87,146,12,0
16,35,112,87,70,134,79,88,48,101,1
65,99,112,146,85,2,61,113,27,101,0
78,35,116,98,77,2,36,58,100,62,0
84,115,65,98,85,106,57,6,27,62,0
68,28,116,8,85,122,25,2,23,62,0
23,54,24,2,85,113,61,55,8,50,0
16,57,60,8,62,84,94,83,100,85,0
103,94,113,46,149,16,56,31,8,66,0
32,36,24,8,90,87,35,112,111,85,0
73,35,87,46,62,83,101,84,100,114,1
134,63,113,8,42,40,54,112,15,147,1
55,139,65,15,74,93,26,113,27,42,0
16,81,52,8,114,29,63,24,46,62,0
133,81,116,27,11,68,57,83,8,77,0
66,25,116,23,101,133,71,117,8,119,0
70,79,65,98,62,68,61,83,115,90,0
55,36,88,115,77,20,79,24,8,114,0
7,56,83,103,119,20,63,3,8,17,0
126,35,87,46,119,84,79,80,27,42,1
40,108,17,8,143,103,37,112,27,147,1
126,104,101,100,50,134,79,141,8,90,0
133,61,2,15,62,70,144,146,100,90,0
44,88,112,113,3,129,79,101,8,62,0
68,102,24,100,114,73,63,65,7,62,0
84,57,112,136,77,16,79,113,8,85,0
16,36,118,98,62,105,56,83,100,12,0
70,24,83,140,100,73,56,148,46,119,0
16,54,113,48,62,84,63,65,72,86,1
40,37,148,124,90,45,79,146,46,62,1
20,57,66,27,3,55,102,24,8,85,0
20,36,83,140,130,78,57,31,46,101,0
147,71,67,100,117,70,79,148,46,77,0
44,24,133,46,90,35,36,101,15,74,0
